1.2837,1.2532,1.228,1.2,1.1766,1.1568,1.1361,1.1146,1.0986,1.0796,1.0638,1.0488,1.0347,1.0213,1.0087,0.99669,0.98525,0.97422,0.96408
1.3359,1.3052,1.274,1.2451,1.2179,1.1925,1.1666,1.1464,1.1231,1.1035,1.0848,1.0671,1.0502,1.0343,1.0194,1.0051,0.9913,0.97827,0.96578
1.3901,1.3541,1.3197,1.2875,1.2573,1.229,1.202,1.1744,1.1507,1.1279,1.1066,1.0862,1.0668,1.0487,1.0311,1.0144,0.99832,0.98297,0.96826
1.4399,1.4006,1.3635,1.3284,1.293,1.2642,1.2323,1.2045,1.178,1.1528,1.1288,1.106,1.0842,1.0635,1.0437,1.0247,1.0061,0.98852,0.97163
1.4771,1.4362,1.3977,1.3585,1.3262,1.2908,1.2594,1.2298,1.2013,1.1741,1.1483,1.1235,1.0997,1.0772,1.0553,1.0342,1.0137,0.99427,0.97556
1.4717,1.4329,1.3932,1.3605,1.3242,1.2923,1.2618,1.2324,1.2044,1.1775,1.1517,1.127,1.1035,1.0805,1.0586,1.0373,1.0166,0.9969,0.97789
1.4305,1.3959,1.3628,1.3285,1.2984,1.2695,1.2416,1.2149,1.1892,1.1645,1.1407,1.1181,1.0959,1.0746,1.054,1.034,1.0146,0.99597,0.97798
1.3843,1.3515,1.3225,1.2948,1.2681,1.2423,1.2175,1.1936,1.1705,1.1482,1.1266,1.106,1.0859,1.0664,1.0475,1.0289,1.0112,0.99403,0.97736
1.3378,1.3117,1.2866,1.2622,1.2386,1.2158,1.1938,1.1725,1.1518,1.1318,1.1128,1.0939,1.0757,1.058,1.0408,1.0238,1.0076,0.99182,0.97648
1.2977,1.2751,1.253,1.2317,1.2109,1.1908,1.1713,1.1524,1.134,1.1164,1.0991,1.0821,1.0657,1.0497,1.034,1.0187,1.0039,0.9895,0.97547
1.2611,1.2414,1.2221,1.2034,1.1852,1.1676,1.1503,1.1336,1.1175,1.1016,1.086,1.0709,1.0561,1.0417,1.0274,1.0136,1.0003,0.98716,0.97437
1.2277,1.2105,1.1937,1.1774,1.1615,1.1459,1.1308,1.1162,1.1018,1.0876,1.0738,1.0602,1.047,1.034,1.0211,1.0088,0.99666,0.9848,0.9732
1.197,1.1822,1.1676,1.1534,1.1395,1.1259,1.1128,1.0998,1.0869,1.0744,1.0621,1.0501,1.0382,1.0265,1.0151,1.004,0.99314,0.98246,0.97198
1.1691,1.1562,1.1436,1.1312,1.1194,1.1074,1.0958,1.0843,1.0731,1.062,1.0511,1.0405,1.0297,1.0195,1.0094,0.99945,0.98971,0.98013,0.97072
1.1434,1.1323,1.1218,1.1109,1.1005,1.09,1.0799,1.0699,1.06,1.0503,1.0407,1.0311,1.0218,1.0128,1.0038,0.99502,0.98635,0.97782,0.96942
1.1201,1.1105,1.1012,1.0919,1.0828,1.0739,1.065,1.0563,1.0477,1.0392,1.0307,1.0224,1.0144,1.0064,0.9985,0.99074,0.98308,0.97553,0.96809
1.0982,1.0901,1.0821,1.0742,1.0664,1.0587,1.0511,1.0436,1.0361,1.0286,1.0214,1.0143,1.0072,1.0003,0.99339,0.9866,0.9799,0.97328,0.96674
1.0781,1.0712,1.0644,1.0577,1.0511,1.0445,1.038,1.0314,1.0251,1.0188,1.0126,1.0065,1.0004,0.99442,0.98848,0.98261,0.9768,0.97105,0.96537
1.0594,1.0537,1.048,1.0424,1.0367,1.031,1.0256,1.0202,1.0148,1.0095,1.0043,0.99909,0.99393,0.98883,0.98376,0.97875,0.97378,0.96886,0.96399
1.042,1.0373,1.0326,1.0278,1.0232,1.0186,1.0141,1.0096,1.0052,1.0008,0.99641,0.99207,0.98776,0.98348,0.97924,0.97503,0.97085,0.96671,0.9626
1.0258,1.022,1.0182,1.0145,1.0107,1.0071,1.0034,0.99975,0.99613,0.99254,0.98897,0.98542,0.98189,0.97839,0.97491,0.97145,0.96801,0.9646,0.96121
1.011,1.008,1.005,1.0021,0.99918,0.99627,0.99338,0.9905,0.98764,0.98479,0.98196,0.97914,0.97634,0.97355,0.97078,0.96802,0.96528,0.96254,0.95983
0.99744,0.9952,0.99297,0.99075,0.98853,0.98633,0.98414,0.98195,0.97977,0.9776,0.97545,0.9733,0.97115,0.96902,0.9669,0.96478,0.96267,0.96057,0.95848
0.98537,0.98377,0.98217,0.98057,0.97898,0.97739,0.97581,0.97424,0.97267,0.9711,0.96954,0.96798,0.96643,0.96488,0.96333,0.96179,0.96026,0.95873,0.9572
0.9752,0.97412,0.97304,0.97196,0.97089,0.96981,0.96874,0.96767,0.96661,0.96554,0.96448,0.96342,0.96236,0.96131,0.96025,0.9592,0.95815,0.95711,0.95606
0.96753,0.96684,0.96614,0.96545,0.96476,0.96407,0.96338,0.96269,0.962,0.96131,0.96062,0.95994,0.95925,0.95857,0.95789,0.9572,0.95652,0.95584,0.95516
